Environment Created.
Agent Initialized with strategy : Explore.

Epoch: 100 | Arm: 4 | Current Reward: 8.815 | Cumulative Reward : 609.492 | Current Strategy : Explore
Epoch: 200 | Arm: 4 | Current Reward: 9.559 | Cumulative Reward : 1345.154 | Current Strategy : Explore
Epoch: 300 | Arm: 8 | Current Reward: 2.182 | Cumulative Reward : 2012.961 | Current Strategy : Explore
Epoch: 400 | Arm: 0 | Current Reward: 8.751 | Cumulative Reward : 2682.577 | Current Strategy : Explore
Epoch: 500 | Arm: 4 | Current Reward: 9.339 | Cumulative Reward : 3436.655 | Current Strategy : Explore
Epoch: 600 | Arm: 2 | Current Reward: 7.495 | Cumulative Reward : 4123.808 | Current Strategy : Explore
Epoch: 700 | Arm: 8 | Current Reward: 2.186 | Cumulative Reward : 4821.879 | Current Strategy : Explore
Epoch: 800 | Arm: 8 | Current Reward: 0.634 | Cumulative Reward : 5492.203 | Current Strategy : Explore
Epoch: 900 | Arm: 8 | Current Reward: 3.421 | Cumulative Reward : 6192.368 | Current Strategy : Explore
Epoch: 1000 | Arm: 1 | Current Reward: 5.953 | Cumulative Reward : 6914.849 | Current Strategy : Explore
Epoch: 1100 | Arm: 11 | Current Reward: 0.042 | Cumulative Reward : 7603.812 | Current Strategy : Explore
Epoch: 1200 | Arm: 5 | Current Reward: 10.663 | Cumulative Reward : 8285.653 | Current Strategy : Explore
Epoch: 1300 | Arm: 4 | Current Reward: 7.625 | Cumulative Reward : 8982.790 | Current Strategy : Explore
Epoch: 1400 | Arm: 10 | Current Reward: 10.826 | Cumulative Reward : 9717.453 | Current Strategy : Explore
Epoch: 1500 | Arm: 2 | Current Reward: 7.140 | Cumulative Reward : 10459.556 | Current Strategy : Explore
Epoch: 1600 | Arm: 10 | Current Reward: 13.913 | Cumulative Reward : 11172.234 | Current Strategy : Explore
Epoch: 1700 | Arm: 10 | Current Reward: 13.626 | Cumulative Reward : 11864.860 | Current Strategy : Explore
Epoch: 1800 | Arm: 8 | Current Reward: 0.571 | Cumulative Reward : 12564.155 | Current Strategy : Explore
Epoch: 1900 | Arm: 5 | Current Reward: 8.059 | Cumulative Reward : 13271.099 | Current Strategy : Explore
Epoch: 2000 | Arm: 3 | Current Reward: 12.974 | Cumulative Reward : 14022.871 | Current Strategy : Explore
Epoch: 2100 | Arm: 8 | Current Reward: 2.363 | Cumulative Reward : 14658.013 | Current Strategy : Explore
Epoch: 2200 | Arm: 2 | Current Reward: 5.975 | Cumulative Reward : 15355.172 | Current Strategy : Explore
Epoch: 2300 | Arm: 0 | Current Reward: 9.010 | Cumulative Reward : 16108.066 | Current Strategy : Explore
Epoch: 2400 | Arm: 4 | Current Reward: 10.570 | Cumulative Reward : 16780.154 | Current Strategy : Explore
Epoch: 2500 | Arm: 3 | Current Reward: 11.695 | Cumulative Reward : 17506.349 | Current Strategy : Explore
Epoch: 2600 | Arm: 2 | Current Reward: 6.626 | Cumulative Reward : 18204.530 | Current Strategy : Explore
Epoch: 2700 | Arm: 11 | Current Reward: -1.531 | Cumulative Reward : 18851.837 | Current Strategy : Explore
Epoch: 2800 | Arm: 3 | Current Reward: 11.297 | Cumulative Reward : 19573.744 | Current Strategy : Explore
Epoch: 2900 | Arm: 8 | Current Reward: 2.438 | Cumulative Reward : 20224.683 | Current Strategy : Explore
Epoch: 3000 | Arm: 7 | Current Reward: 1.383 | Cumulative Reward : 20869.907 | Current Strategy : Explore
Epoch: 3100 | Arm: 11 | Current Reward: -0.480 | Cumulative Reward : 21554.567 | Current Strategy : Explore
Epoch: 3200 | Arm: 2 | Current Reward: 6.919 | Cumulative Reward : 22308.345 | Current Strategy : Explore
Epoch: 3300 | Arm: 8 | Current Reward: 0.799 | Cumulative Reward : 22979.315 | Current Strategy : Explore
Epoch: 3400 | Arm: 7 | Current Reward: 3.994 | Cumulative Reward : 23629.164 | Current Strategy : Explore
Epoch: 3500 | Arm: 4 | Current Reward: 9.333 | Cumulative Reward : 24379.069 | Current Strategy : Explore
Epoch: 3600 | Arm: 2 | Current Reward: 8.069 | Cumulative Reward : 25077.578 | Current Strategy : Explore
Epoch: 3700 | Arm: 3 | Current Reward: 12.665 | Cumulative Reward : 25788.212 | Current Strategy : Explore
Epoch: 3800 | Arm: 6 | Current Reward: 9.920 | Cumulative Reward : 26489.133 | Current Strategy : Explore
Epoch: 3900 | Arm: 5 | Current Reward: 10.302 | Cumulative Reward : 27217.935 | Current Strategy : Explore
Epoch: 4000 | Arm: 2 | Current Reward: 7.681 | Cumulative Reward : 27953.560 | Current Strategy : Explore
Epoch: 4100 | Arm: 7 | Current Reward: 2.441 | Cumulative Reward : 28614.435 | Current Strategy : Explore
Epoch: 4200 | Arm: 5 | Current Reward: 9.386 | Cumulative Reward : 29305.922 | Current Strategy : Explore
Epoch: 4300 | Arm: 2 | Current Reward: 6.714 | Cumulative Reward : 30016.335 | Current Strategy : Explore
Epoch: 4400 | Arm: 11 | Current Reward: -1.421 | Cumulative Reward : 30708.268 | Current Strategy : Explore
Epoch: 4500 | Arm: 2 | Current Reward: 5.735 | Cumulative Reward : 31395.010 | Current Strategy : Explore
Epoch: 4600 | Arm: 8 | Current Reward: 2.728 | Cumulative Reward : 32074.698 | Current Strategy : Explore
Epoch: 4700 | Arm: 11 | Current Reward: 0.148 | Cumulative Reward : 32758.467 | Current Strategy : Explore
Epoch: 4800 | Arm: 7 | Current Reward: 3.548 | Cumulative Reward : 33366.625 | Current Strategy : Explore
Epoch: 4900 | Arm: 4 | Current Reward: 9.382 | Cumulative Reward : 34114.092 | Current Strategy : Explore
Epoch: 5000 | Arm: 2 | Current Reward: 6.878 | Cumulative Reward : 34846.792 | Current Strategy : Explore
Epoch: 5100 | Arm: 11 | Current Reward: -0.687 | Cumulative Reward : 35533.337 | Current Strategy : Explore
Epoch: 5200 | Arm: 6 | Current Reward: 11.829 | Cumulative Reward : 36249.220 | Current Strategy : Explore
Epoch: 5300 | Arm: 11 | Current Reward: -0.277 | Cumulative Reward : 36954.911 | Current Strategy : Explore
Epoch: 5400 | Arm: 7 | Current Reward: 1.147 | Cumulative Reward : 37603.171 | Current Strategy : Explore
Epoch: 5500 | Arm: 4 | Current Reward: 8.684 | Cumulative Reward : 38380.261 | Current Strategy : Explore
Epoch: 5600 | Arm: 1 | Current Reward: 7.409 | Cumulative Reward : 39110.757 | Current Strategy : Explore
Epoch: 5700 | Arm: 5 | Current Reward: 8.917 | Cumulative Reward : 39815.383 | Current Strategy : Explore
Epoch: 5800 | Arm: 5 | Current Reward: 6.940 | Cumulative Reward : 40510.527 | Current Strategy : Explore
Epoch: 5900 | Arm: 7 | Current Reward: 3.266 | Cumulative Reward : 41279.958 | Current Strategy : Explore
Epoch: 6000 | Arm: 0 | Current Reward: 9.016 | Cumulative Reward : 42046.555 | Current Strategy : Explore
Epoch: 6100 | Arm: 7 | Current Reward: 1.989 | Cumulative Reward : 42719.363 | Current Strategy : Explore
Epoch: 6200 | Arm: 0 | Current Reward: 7.694 | Cumulative Reward : 43444.209 | Current Strategy : Explore
Epoch: 6300 | Arm: 3 | Current Reward: 10.742 | Cumulative Reward : 44180.251 | Current Strategy : Explore
Epoch: 6400 | Arm: 9 | Current Reward: 4.903 | Cumulative Reward : 44864.887 | Current Strategy : Explore
Epoch: 6500 | Arm: 8 | Current Reward: 2.205 | Cumulative Reward : 45602.192 | Current Strategy : Explore
Epoch: 6600 | Arm: 4 | Current Reward: 10.613 | Cumulative Reward : 46301.422 | Current Strategy : Explore
Epoch: 6700 | Arm: 0 | Current Reward: 7.960 | Cumulative Reward : 47050.052 | Current Strategy : Explore
Epoch: 6800 | Arm: 4 | Current Reward: 9.174 | Cumulative Reward : 47736.681 | Current Strategy : Explore
Epoch: 6900 | Arm: 3 | Current Reward: 9.961 | Cumulative Reward : 48445.983 | Current Strategy : Explore
Epoch: 7000 | Arm: 5 | Current Reward: 9.623 | Cumulative Reward : 49096.834 | Current Strategy : Explore
Epoch: 7100 | Arm: 9 | Current Reward: 5.635 | Cumulative Reward : 49796.029 | Current Strategy : Explore
Epoch: 7200 | Arm: 8 | Current Reward: 1.915 | Cumulative Reward : 50545.202 | Current Strategy : Explore
Epoch: 7300 | Arm: 10 | Current Reward: 11.349 | Cumulative Reward : 51238.561 | Current Strategy : Explore
Epoch: 7400 | Arm: 8 | Current Reward: 3.541 | Cumulative Reward : 51927.202 | Current Strategy : Explore
Epoch: 7500 | Arm: 2 | Current Reward: 6.533 | Cumulative Reward : 52604.381 | Current Strategy : Explore
Epoch: 7600 | Arm: 0 | Current Reward: 9.358 | Cumulative Reward : 53308.838 | Current Strategy : Explore
Epoch: 7700 | Arm: 9 | Current Reward: 5.544 | Cumulative Reward : 54047.956 | Current Strategy : Explore
Epoch: 7800 | Arm: 3 | Current Reward: 11.209 | Cumulative Reward : 54786.196 | Current Strategy : Explore
Epoch: 7900 | Arm: 8 | Current Reward: 1.637 | Cumulative Reward : 55426.170 | Current Strategy : Explore
Epoch: 8000 | Arm: 0 | Current Reward: 8.715 | Cumulative Reward : 56123.231 | Current Strategy : Explore
Epoch: 8100 | Arm: 10 | Current Reward: 12.429 | Cumulative Reward : 56811.729 | Current Strategy : Explore
Epoch: 8200 | Arm: 6 | Current Reward: 10.889 | Cumulative Reward : 57526.617 | Current Strategy : Explore
Epoch: 8300 | Arm: 3 | Current Reward: 11.523 | Cumulative Reward : 58216.860 | Current Strategy : Explore
Epoch: 8400 | Arm: 0 | Current Reward: 9.338 | Cumulative Reward : 58864.361 | Current Strategy : Explore
Epoch: 8500 | Arm: 5 | Current Reward: 7.182 | Cumulative Reward : 59577.359 | Current Strategy : Explore
Epoch: 8600 | Arm: 11 | Current Reward: 1.235 | Cumulative Reward : 60275.828 | Current Strategy : Explore
Epoch: 8700 | Arm: 2 | Current Reward: 7.352 | Cumulative Reward : 60937.694 | Current Strategy : Explore
Epoch: 8800 | Arm: 1 | Current Reward: 5.585 | Cumulative Reward : 61651.635 | Current Strategy : Explore
Epoch: 8900 | Arm: 2 | Current Reward: 6.411 | Cumulative Reward : 62338.351 | Current Strategy : Explore
Epoch: 9000 | Arm: 5 | Current Reward: 10.507 | Cumulative Reward : 63026.654 | Current Strategy : Explore
Epoch: 9100 | Arm: 8 | Current Reward: 3.207 | Cumulative Reward : 63720.142 | Current Strategy : Explore
Epoch: 9200 | Arm: 4 | Current Reward: 9.114 | Cumulative Reward : 64398.642 | Current Strategy : Explore
