epoch,strategy,arm,current reward,cumulative reward,optimal
1,Explore,10,10.743793001245201,10.743793001245201,True
2,Explore,1,7.558747978870991,18.30254098011619,False
3,Explore,0,7.449687122805848,25.75222810292204,False
4,Explore,11,-1.426605086828073,24.325623016093967,False
5,Explore,6,8.419353592125955,32.74497660821992,False
6,Explore,9,6.433620344884083,39.178596953104005,False
7,Explore,10,10.509835675172507,49.688432628276516,True
8,Explore,7,2.4977398502154156,52.18617247849193,False
9,Explore,11,-1.4415995191681423,50.74457295932379,False
10,Explore,8,0.6102990438331821,51.35487200315697,False
11,Explore,5,10.366233984600893,61.721105987757866,False
12,Explore,0,7.227760973253849,68.94886696101172,False
13,Explore,2,6.708023936630628,75.65689089764234,False
14,Explore,2,7.502705824845441,83.15959672248778,False
15,Explore,5,9.404759351328149,92.56435607381593,False
16,Explore,8,2.981749453957942,95.54610552777388,False
17,Explore,6,9.310840006175296,104.85694553394917,False
18,Explore,11,-0.42251546281367536,104.4344300711355,False
19,Explore,2,7.370962284979298,111.8053923561148,False
20,Explore,6,10.215926500055277,122.02131885617007,False
21,Explore,6,8.038265321455267,130.05958417762534,False
22,Explore,3,11.897035575496197,141.95661975312154,False
23,Explore,0,7.9840410294431585,149.9406607825647,False
24,Explore,4,7.717757436436683,157.65841821900136,False
25,Explore,11,0.14251855282060533,157.80093677182197,False
26,Explore,2,5.96191815791558,163.76285492973756,False
27,Explore,7,1.858011951406944,165.6208668811445,False
28,Explore,9,5.381929338647314,171.00279621979183,False
29,Explore,10,10.475002263207532,181.47779848299936,True
30,Explore,5,7.424660356382037,188.9024588393814,False
31,Explore,0,8.965384123676486,197.8678429630579,False
32,Explore,1,6.733796742439853,204.60163970549777,False
33,Explore,11,-0.2969240319606347,204.30471567353715,False
34,Explore,0,8.882319712803628,213.18703538634077,False
35,Explore,7,2.030388421246437,215.2174238075872,False
36,Explore,10,11.621669812258789,226.839093619846,True
37,Explore,0,9.71721447378112,236.55630809362714,False
38,Explore,6,10.031806024240064,246.5881141178672,False
39,Explore,8,2.375907943942383,248.9640220618096,False
40,Explore,0,7.311798131709719,256.27582019351934,False
41,Explore,2,7.504779656642373,263.7805998501617,False
42,Explore,0,8.376521435046353,272.15712128520806,False
43,Explore,2,6.479104848625279,278.63622613383336,False
44,Explore,11,-0.6776722975866499,277.9585538362467,False
45,Explore,1,7.067437471458015,285.0259913077047,False
46,Explore,1,6.728624770865942,291.7546160785707,False
47,Explore,3,10.044463667529072,301.7990797460998,False
48,Explore,1,5.904539710649953,307.7036194567497,False
49,Explore,8,0.27687910182059405,307.98049855857033,False
50,Explore,6,9.51142273380494,317.49192129237525,False
51,Explore,5,9.480982704790373,326.97290399716564,False
52,Explore,6,9.453529035698761,336.4264330328644,False
53,Explore,8,1.5949431763338056,338.0213762091982,False
54,Explore,4,8.680712677752398,346.7020888869506,False
55,Explore,8,1.096627459903721,347.79871634685435,False
56,Explore,11,0.21954842359707732,348.0182647704514,False
57,Explore,2,7.131687571867453,355.1499523423189,False
58,Explore,4,9.811321548537135,364.96127389085603,False
59,Explore,0,7.559105803795158,372.5203796946512,False
60,Explore,4,8.956400951321122,381.4767806459723,False
61,Explore,0,7.463401282405377,388.9401819283777,False
62,Explore,11,-1.2353956923088454,387.70478623606886,False
63,Explore,3,10.252059052575621,397.9568452886445,False
64,Explore,5,9.163601886172152,407.12044717481666,False
65,Explore,8,2.216844950854306,409.33729212567096,False
66,Explore,8,3.3653639085568776,412.70265603422786,False
67,Explore,3,10.992782825466726,423.6954388596946,False
68,Explore,6,9.115176515148626,432.8106153748432,False
69,Explore,10,12.119188420519812,444.92980379536306,True
70,Explore,9,6.243094039233602,451.17289783459665,False
71,Explore,10,11.042835241604179,462.2157330762008,True
72,Explore,4,8.53682431091699,470.7525573871178,False
73,Explore,1,6.576945419183444,477.32950280630126,False
74,Explore,0,7.406617702026983,484.73612050832827,False
75,Explore,7,4.087030011022516,488.8231505193508,False
76,Explore,2,4.6850456702062555,493.50819618955705,False
77,Explore,6,8.802449679513684,502.31064586907075,False
78,Explore,0,10.800786186028677,513.1114320550994,False
79,Explore,11,0.8409835308646354,513.952415585964,False
80,Explore,11,-0.7655316697770123,513.186883916187,False
81,Explore,1,5.094460522322087,518.281344438509,False
82,Explore,7,4.366243444548542,522.6475878830576,False
83,Explore,8,1.4866835195751993,524.1342714026327,False
84,Explore,7,3.754779817347236,527.8890512199799,False
85,Explore,11,-0.584292782066789,527.3047584379132,False
86,Explore,7,2.7181744840882494,530.0229329220014,False
87,Explore,11,1.7821723229374498,531.8051052449388,False
88,Explore,1,6.306684155159805,538.1117894000986,False
89,Explore,9,5.258671554083229,543.3704609541818,False
90,Explore,10,10.8540957855015,554.2245567396833,True
91,Explore,3,11.061185444375528,565.2857421840588,False
